log_id,timestamp,error_type,severity,module,environment,user_id,response_time_ms,message,ip_address
3099,2024-06-20 09:25:00,File Not Found,High,database-manager,staging,,,Error in module at line 246: Memory Leak,
3626,2024-08-21 02:17:00,API Timeout,High,notification-service,production,USR-4522,,Error in module at line 343: System Crash,
4254,2024-02-14 22:19:00,System Crash,Low,notification-service,unknown,,,Error in module at line 228: System Crash,
2881,2024-02-15 01:31:00,Database Connection Error,Critical,api-gateway,development,USR-3984,,Error in module at line 491: UI Glitch,
843,2024-10-17 13:38:00,Performance Degradation,Low,database-manager,development,,797.0,Error in module at line 101: Database Connection Error,10.0.89.140
188,2024-11-12 22:28:00,Database Connection Error,Unknown,notification-service,development,USR-6592,,Error in module at line 263: Authentication Failure,
4422,,Permission Denied,High,database-manager,production,,2273.0,Error in module at line 238: System Crash,
4709,2024-04-30 07:42:00,Database Connection Error,Critical,file-storage,staging,USR-8349,,Error in module at line 492: System Crash,
2419,2024-08-15 20:30:00,Memory Leak,High,unknown-module,production,,,Error in module at line 100: Performance Degradation,10.0.108.70
794,2024-04-19 09:17:00,Performance Degradation,Critical,user-dashboard,production,USR-4178,,Error in module at line 359: UI Glitch,
3577,2024-05-09 06:28:00,System Crash,High,payment-gateway,development,,1993.37,Error in module at line 257: UI Glitch,192.168.179.90
3722,2024-01-21 00:53:00,API Timeout,Low,database-manager,staging,,1727.89,Error in module at line 360: Authentication Failure,
1611,,Authentication Failure,Low,api-gateway,production,USR-1154,,Error in module at line 445: Performance Degradation,
2228,2024-07-21 14:29:00,Database Connection Error,High,unknown-module,staging,,1935.0,Error in module at line 225: Permission Denied,192.168.216.66
3913,2024-09-11 15:23:00,Authentication Failure,Medium,database-manager,staging,,2953.0,Error in module at line 93: System Crash,10.0.73.15
2304,2024-01-31 23:49:00,Authentication Failure,Medium,auth-service,development,USR-4186,,Error in module at line 107: Network Timeout,
3603,2024-05-11 13:09:00,File Not Found,Unknown,unknown-module,staging,USR-1048,2573.54,Error in module at line 136: Authentication Failure,192.168.135.108
3598,,Permission Denied,Critical,payment-gateway,production,USR-4655,1168.0,Error in module at line 231: UI Glitch,
2552,2024-10-31 16:10:00,API Timeout,High,user-dashboard,production,USR-5708,2087.41,Error in module at line 186: API Timeout,192.168.74.35
121,2024-06-12 08:36:00,API Timeout,High,file-storage,staging,,,Error in module at line 471: File Not Found,10.0.213.127
2878,2024-02-26 07:45:00,API Timeout,High,file-storage,development,USR-6416,4935.0,Error in module at line 425: Authentication Failure,
893,2024-02-16 21:52:00,Performance Degradation,Medium,notification-service,development,,,Error in module at line 277: Network Timeout,192.168.158.51
4585,2024-11-25 08:57:00,Memory Leak,Low,auth-service,production,,,Error in module at line 437: System Crash,10.0.85.124
3873,2024-11-19 09:55:00,Network Timeout,Medium,unknown-module,unknown,USR-6912,4955.64,Error in module at line 302: Authentication Failure,10.0.211.120
2236,,Database Connection Error,Medium,api-gateway,production,,,Error in module at line 456: Authentication Failure,
3503,2024-11-14 19:21:00,System Crash,Critical,database-manager,production,USR-9241,3982.26,Error in module at line 317: Memory Leak,10.0.85.151
818,2024-01-30 13:48:00,Authentication Failure,Critical,notification-service,staging,,,Error in module at line 307: Memory Leak,10.0.148.55
58,2024-03-16 20:36:00,File Not Found,High,payment-gateway,unknown,USR-8668,,Error in module at line 268: Permission Denied,
4432,2024-07-22 15:11:00,UI Glitch,Unknown,unknown-module,development,,4247.0,Error in module at line 435: File Not Found,
69,2024-05-21 01:50:00,UI Glitch,Low,payment-gateway,production,USR-6691,,Error in module at line 139: API Timeout,192.168.250.173
4595,2024-04-14 01:31:00,System Crash,Critical,notification-service,development,,,Error in module at line 137: UI Glitch,
3262,2024-07-02 07:48:00,Performance Degradation,Low,database-manager,staging,,,Error in module at line 137: File Not Found,192.168.97.155
1817,2024-06-22 07:03:00,Database Connection Error,Low,user-dashboard,production,,,Error in module at line 497: Performance Degradation,
3178,,API Timeout,Critical,file-storage,unknown,USR-1920,,Error in module at line 314: UI Glitch,10.0.163.129
3616,2024-04-05 21:28:00,Authentication Failure,High,api-gateway,staging,USR-5802,,Error in module at line 6: Memory Leak,
2997,2024-03-31 06:45:00,System Crash,High,database-manager,staging,USR-2622,,Error in module at line 84: System Crash,
100,2024-05-30 04:34:00,API Timeout,High,unknown-module,development,,,Error in module at line 284: UI Glitch,
4590,2024-06-06 21:49:00,API Timeout,Low,file-storage,development,USR-9442,,Error in module at line 65: Memory Leak,
351,2024-04-17 14:10:00,UI Glitch,Low,file-storage,production,USR-5163,,Error in module at line 8: Database Connection Error,
1891,2024-01-22 16:02:00,Performance Degradation,High,api-gateway,development,,,Error in module at line 332: Network Timeout,10.0.156.170
1934,,UI Glitch,High,api-gateway,development,,,Error in module at line 293: Performance Degradation,
956,,File Not Found,High,database-manager,production,,,Error in module at line 248: Performance Degradation,192.168.181.155
665,,Database Connection Error,High,notification-service,unknown,USR-6995,,Error in module at line 487: Database Connection Error,192.168.69.56
2094,,Authentication Failure,Medium,file-storage,staging,,,Error in module at line 471: UI Glitch,
3908,2024-03-26 16:04:00,File Not Found,Medium,notification-service,production,USR-8020,853.0,Error in module at line 253: Network Timeout,10.0.158.182
4373,2024-03-04 06:55:00,Database Connection Error,Low,api-gateway,production,,,Error in module at line 188: UI Glitch,192.168.15.118
2715,2024-04-11 15:56:00,Performance Degradation,Unknown,file-storage,staging,USR-7806,4906.0,Error in module at line 322: System Crash,10.0.25.43
4701,,Permission Denied,Critical,api-gateway,production,USR-4191,,Error in module at line 59: Authentication Failure,192.168.30.141
654,2024-07-07 13:37:00,Memory Leak,Critical,user-dashboard,unknown,USR-4528,,Error in module at line 370: Permission Denied,192.168.37.33
4222,2024-10-18 19:50:00,UI Glitch,Low,unknown-module,staging,USR-4563,,Error in module at line 17: Memory Leak,10.0.10.40
714,2024-11-12 08:29:00,UI Glitch,High,file-storage,production,,,Error in module at line 169: Authentication Failure,10.0.179.135
2701,2024-06-01 01:37:00,Authentication Failure,Medium,api-gateway,production,USR-5925,,Error in module at line 327: Performance Degradation,
2227,,File Not Found,Critical,auth-service,development,,,Error in module at line 266: Memory Leak,
155,2024-07-25 15:24:00,Memory Leak,Low,payment-gateway,production,,,Error in module at line 360: Memory Leak,10.0.36.50
4539,2024-07-14 22:34:00,UI Glitch,Critical,payment-gateway,development,,2756.0,Error in module at line 22: Permission Denied,
2668,2024-01-03 18:34:00,Network Timeout,Medium,user-dashboard,development,,2627.44,Error in module at line 487: File Not Found,10.0.177.25
1801,,Network Timeout,Medium,payment-gateway,development,,3285.0,Error in module at line 142: API Timeout,
901,,Authentication Failure,Critical,unknown-module,development,,,Error in module at line 179: Performance Degradation,
4136,2024-02-10 20:09:00,Database Connection Error,High,notification-service,development,,,Error in module at line 46: Network Timeout,10.0.103.252
2535,2024-11-05 03:28:00,System Crash,Low,unknown-module,development,USR-4612,,Error in module at line 40: Database Connection Error,
3521,2024-09-25 11:48:00,Database Connection Error,Low,file-storage,staging,USR-7498,,Error in module at line 278: Authentication Failure,192.168.177.111
3294,2024-02-12 13:29:00,Performance Degradation,High,file-storage,development,USR-3303,,Error in module at line 190: Authentication Failure,
2487,2024-11-10 05:02:00,UI Glitch,Low,file-storage,production,,3993.0,Error in module at line 366: API Timeout,10.0.158.249
4520,2024-03-12 05:16:00,Network Timeout,Critical,payment-gateway,development,,3122.0,Error in module at line 466: Database Connection Error,
3888,,Network Timeout,Medium,auth-service,production,,,Error in module at line 147: Network Timeout,10.0.155.66
92,2024-03-14 09:40:00,Permission Denied,Low,user-dashboard,development,USR-4011,1486.0,Error in module at line 125: Network Timeout,10.0.93.37
4420,2024-03-23 14:19:00,Authentication Failure,Low,unknown-module,development,USR-1385,3989.94,Error in module at line 114: File Not Found,
3701,,Performance Degradation,Medium,file-storage,staging,USR-7867,,Error in module at line 195: File Not Found,
4088,2024-07-04 04:14:00,Permission Denied,Unknown,database-manager,production,,3060.0,Error in module at line 460: File Not Found,10.0.194.82
2339,,Authentication Failure,Medium,api-gateway,staging,,4996.0,Error in module at line 478: Network Timeout,10.0.78.234
1118,,Authentication Failure,High,payment-gateway,development,,,Error in module at line 9: Authentication Failure,
1782,2024-11-26 05:49:00,Performance Degradation,High,database-manager,development,,,Error in module at line 48: Database Connection Error,
2564,,UI Glitch,Low,unknown-module,development,USR-3567,,Error in module at line 169: Network Timeout,
1439,2024-08-07 00:58:00,Permission Denied,Critical,database-manager,development,USR-7665,,Error in module at line 409: Permission Denied,10.0.17.149
771,,System Crash,High,database-manager,development,USR-5982,,Error in module at line 299: Authentication Failure,
1411,2024-05-25 08:19:00,UI Glitch,Unknown,user-dashboard,production,,,Error in module at line 119: Database Connection Error,
339,2024-07-18 09:41:00,Database Connection Error,Unknown,user-dashboard,production,,,Error in module at line 130: Network Timeout,
3645,,Database Connection Error,Critical,auth-service,production,,,Error in module at line 130: Network Timeout,10.0.54.146
1166,,UI Glitch,Critical,file-storage,development,USR-6698,2383.78,Error in module at line 3: Memory Leak,
652,2024-11-07 17:38:00,Network Timeout,High,user-dashboard,staging,,,Error in module at line 332: Authentication Failure,
363,2024-02-13 15:32:00,Network Timeout,Low,database-manager,staging,USR-2260,,Error in module at line 279: File Not Found,
127,2024-04-09 08:16:00,Network Timeout,Medium,payment-gateway,production,USR-3917,,Error in module at line 283: System Crash,
1639,2024-07-12 16:30:00,API Timeout,Critical,unknown-module,development,USR-4702,,Error in module at line 149: Permission Denied,
3704,2024-10-22 19:39:00,Network Timeout,Low,database-manager,development,,2791.87,Error in module at line 422: API Timeout,
4914,2024-03-18 03:13:00,Authentication Failure,Unknown,unknown-module,production,,,Error in module at line 283: API Timeout,
