log_id,timestamp,error_type,severity,module,environment,user_id,response_time_ms,message,ip_address
2558,2024-01-28 22:06:00,Network Timeout,Low,payment-gateway,DEV,UNKNOWN,0,Error in module at line 395: Permission Denied,192.168.152.51
4804,2024-04-22 18:37:00,API Timeout,LOW,auth-service,production,,N/A,Error in module at line 141: Authentication Failure,0.0.0.0
1610,2024-05-21 17:07:00,System Crash,P2,notification-service,Staging,,0,Error in module at line 250: File Not Found,INVALID_IP
3103,1724833860.0,Network Timeout,med,database-manager,Staging,,0,Error in module at line 195: API Timeout,10.0.236.195
3400,2024-12-17 04:25:00,Authentication Failure,P2,notification-service,stg,UNKNOWN,N/A,Error in module at line 412: UI Glitch,10.0.72.137
2632,14-Feb-2024 16:52:00,File Not Found,,,development,UNKNOWN,N/A,Error in module at line 38: File Not Found,10.0.21.31
4939,1711107120.0,Authentication Failure,High,file-storage,PRODUCTION,UNKNOWN,1035,Error in module at line 172: Permission Denied,INVALID_IP
546,12/01/2024 08:12,Database Connection Error,P1,file-storage,PRODUCTION,,99999,Error in module at line 332: API Timeout,
3405,,Database Connection Error,P1,payment-gateway,production,,99999,Error in module at line 343: UI Glitch,0.0.0.0
1408,,UI Glitch,high,api-gateway,development,USR-1506,,Error in module at line 168: Memory Leak,
75,2024-03-26 18:30:00,File Not Found,CRITICAL,,stg,,99999,Error in module at line 323: Memory Leak,10.0.18.243
1322,2024-06-26 11:29:00,Performance Degradation,P3,file-storage,stg,,-1,Error in module at line 322: Network Timeout,
2888,1709779080.0,Memory Leak,High,,DEV,,,Error in module at line 438: Performance Degradation,INVALID_IP
2429,1705747500.0,System Crash,,auth-service,DEV,,0,Error in module at line 472: Memory Leak,0.0.0.0
4047,,Authentication Failure,CRITICAL,,stg,,-1,Error in module at line 97: Permission Denied,
4307,1732789800.0,Authentication Failure,High,auth-service,production,UNKNOWN,-1,Error in module at line 70: API Timeout,192.168.10.222
3523,27-Apr-2024 07:46:00,File Not Found,,,DEV,9559,0,Error in module at line 197: Authentication Failure,0.0.0.0
1295,1732342800.0,UI Glitch,P3,auth-service,staging,USR-3388,,Error in module at line 423: Memory Leak,10.0.254.20
3708,1705446840.0,Performance Degradation,High,auth-service,dev,,2681,Error in module at line 324: Network Timeout,10.0.71.105
4967,1719519240.0,Permission Denied,P3,api-gateway,staging,,,Error in module at line 133: Permission Denied,192.168.201.223
4512,09-Mar-2024 22:38:00,System Crash,high,payment-gateway,PRODUCTION,USR-5074,0,Error in module at line 67: Database Connection Error,10.0.204.80
2086,,Database Connection Error,med,auth-service,DEV,,N/A,Error in module at line 262: Permission Denied,
664,02/23/2024 12:38,Performance Degradation,High,user-dashboard,PRODUCTION,UNKNOWN,643,Error in module at line 394: Memory Leak,
2921,,System Crash,LOW,api-gateway,staging,UNKNOWN,N/A,Error in module at line 496: Memory Leak,INVALID_IP
2827,1726881840.0,System Crash,,notification-service,production,,N/A,Error in module at line 467: File Not Found,
2409,30-Aug-2024 12:43:00,UI Glitch,Medium,payment-gateway,Staging,,-1,Error in module at line 224: Permission Denied,0.0.0.0
4409,,Authentication Failure,Critical,notification-service,development,USR-3483,,Error in module at line 378: Performance Degradation,10.0.9.94
214,1705326240.0,Memory Leak,P2,api-gateway,DEV,UNKNOWN,1269.18,Error in module at line 427: Authentication Failure,0.0.0.0
150,1720036260.0,Performance Degradation,med,notification-service,staging,6005,,Error in module at line 149: UI Glitch,
332,,Database Connection Error,P4,auth-service,stg,UNKNOWN,1841,Error in module at line 473: Performance Degradation,0.0.0.0
4,1708477080.0,File Not Found,Critical,file-storage,staging,,-1,Error in module at line 338: Performance Degradation,192.168.167.73
4186,1714789920.0,Authentication Failure,P1,api-gateway,stg,USR-5578,1309.13,Error in module at line 391: Authentication Failure,192.168.200.134
4988,,Memory Leak,,database-manager,stg,USR-8429,-1,Error in module at line 223: API Timeout,0.0.0.0
1342,28-Dec-2024 22:04:00,Memory Leak,LOW,payment-gateway,Staging,,,Error in module at line 484: File Not Found,INVALID_IP
1916,,Memory Leak,P1,auth-service,production,,-1,Error in module at line 352: Memory Leak,10.0.245.130
973,,API Timeout,high,user-dashboard,Staging,USR-3767,N/A,Error in module at line 201: Memory Leak,
113,,Network Timeout,High,notification-service,,USR-4441,99999,Error in module at line 338: Performance Degradation,0.0.0.0
359,17-Feb-2024 18:52:00,Authentication Failure,P2,file-storage,stg,9485,,Error in module at line 393: API Timeout,10.0.104.72
283,20-Jan-2024 11:51:00,Database Connection Error,Critical,notification-service,stg,,N/A,Error in module at line 135: Performance Degradation,
1582,,Network Timeout,Low,api-gateway,stg,,0,Error in module at line 257: UI Glitch,INVALID_IP
464,01/11/2024 13:06,Authentication Failure,High,payment-gateway,Staging,UNKNOWN,99999,Error in module at line 275: API Timeout,192.168.156.113
2222,03/26/2024 22:36,UI Glitch,High,payment-gateway,PRODUCTION,7966,99999,Error in module at line 97: Authentication Failure,
1218,1712789880.0,Network Timeout,P4,auth-service,DEV,UNKNOWN,99999,Error in module at line 383: Authentication Failure,
4264,2024-03-20 01:10:00,Permission Denied,med,api-gateway,Staging,UNKNOWN,99999,Error in module at line 278: Database Connection Error,
3886,1708531500.0,API Timeout,med,payment-gateway,staging,5010,-1,Error in module at line 180: UI Glitch,
2205,17-Oct-2024 03:02:00,Authentication Failure,P3,auth-service,DEV,UNKNOWN,N/A,Error in module at line 484: Database Connection Error,
3085,1715616720.0,UI Glitch,high,file-storage,prod,UNKNOWN,N/A,Error in module at line 279: Memory Leak,INVALID_IP
3513,,System Crash,CRITICAL,auth-service,staging,3086,-1,Error in module at line 347: Memory Leak,10.0.251.231
494,07/16/2024 16:55,System Crash,P1,api-gateway,dev,USR-9871,1444,Error in module at line 63: Authentication Failure,10.0.72.252
2748,04-Jan-2024 20:57:00,UI Glitch,,notification-service,development,UNKNOWN,-1,Error in module at line 119: Performance Degradation,
2621,,UI Glitch,P4,auth-service,PRODUCTION,,N/A,Error in module at line 483: System Crash,192.168.3.3
3024,01-Dec-2024 06:15:00,UI Glitch,high,user-dashboard,dev,,99999,Error in module at line 416: File Not Found,0.0.0.0
3388,1705807920.0,UI Glitch,P2,notification-service,development,USR-6014,4853,Error in module at line 13: System Crash,
1614,04/19/2024 15:15,Network Timeout,P3,file-storage,stg,UNKNOWN,99999,Error in module at line 328: UI Glitch,
3889,01/22/2024 23:52,API Timeout,P4,,staging,,N/A,Error in module at line 4: Authentication Failure,10.0.179.81
4421,1708995840.0,API Timeout,P4,user-dashboard,dev,USR-4334,-1,Error in module at line 17: Performance Degradation,10.0.176.242
3185,22-May-2024 09:03:00,API Timeout,Low,database-manager,staging,USR-2663,,Error in module at line 494: System Crash,
691,24-Jul-2024 07:19:00,UI Glitch,Critical,file-storage,production,USR-3075,-1,Error in module at line 327: Authentication Failure,INVALID_IP
1767,22-May-2024 23:22:00,Network Timeout,P2,database-manager,prod,,0,Error in module at line 47: File Not Found,INVALID_IP
4670,2024-04-16 17:07:00,Memory Leak,Low,api-gateway,dev,USR-2335,-1,Error in module at line 372: API Timeout,
3052,2024-10-22 15:39:00,Database Connection Error,P4,file-storage,development,,,Error in module at line 119: System Crash,INVALID_IP
2731,,API Timeout,P3,file-storage,staging,2492,471.96,Error in module at line 461: System Crash,INVALID_IP
3423,2024-09-18 12:44:00,Memory Leak,Medium,auth-service,DEV,8644,1086,Error in module at line 459: Memory Leak,10.0.219.102
995,,Network Timeout,med,notification-service,development,UNKNOWN,-1,Error in module at line 471: UI Glitch,192.168.222.111
261,10/18/2024 06:32,Database Connection Error,P2,api-gateway,stg,,,Error in module at line 319: Performance Degradation,
1923,,System Crash,Critical,,Staging,,657.29,Error in module at line 278: Performance Degradation,INVALID_IP
1402,1734815520.0,Permission Denied,CRITICAL,notification-service,development,USR-8819,3238.83,Error in module at line 389: Performance Degradation,INVALID_IP
2588,,API Timeout,High,auth-service,staging,6335,0,Error in module at line 368: System Crash,10.0.172.113
1622,1709763300.0,Database Connection Error,med,,DEV,9387,4001.48,Error in module at line 421: Network Timeout,INVALID_IP
370,04/01/2024 08:17,UI Glitch,med,database-manager,DEV,,99999,Error in module at line 418: Database Connection Error,INVALID_IP
4111,28-Jan-2024 14:49:00,File Not Found,high,,dev,,682,Error in module at line 457: File Not Found,10.0.31.168
682,12/03/2024 23:57,Permission Denied,high,api-gateway,prod,7306,0,Error in module at line 63: Permission Denied,10.0.146.89
4810,08/30/2024 19:43,File Not Found,P4,,stg,,362.67,Error in module at line 353: System Crash,0.0.0.0
1929,2024-09-15 16:53:00,File Not Found,P3,payment-gateway,DEV,UNKNOWN,2904,Error in module at line 92: API Timeout,INVALID_IP
4272,2024-04-16 00:02:00,API Timeout,LOW,payment-gateway,staging,UNKNOWN,99999,Error in module at line 45: Authentication Failure,INVALID_IP
2584,1720194840.0,Database Connection Error,,database-manager,PRODUCTION,UNKNOWN,-1,Error in module at line 338: Database Connection Error,0.0.0.0
3820,10/02/2024 09:46,Authentication Failure,P1,,production,,,Error in module at line 456: Authentication Failure,INVALID_IP
4996,1706049180.0,UI Glitch,,database-manager,dev,3611,99999,Error in module at line 475: Permission Denied,
1603,2024-04-21 04:34:00,UI Glitch,P2,user-dashboard,development,4240,N/A,Error in module at line 226: API Timeout,INVALID_IP
1545,2024-09-04 22:58:00,Memory Leak,med,file-storage,dev,UNKNOWN,2069.19,Error in module at line 107: UI Glitch,10.0.135.55
1290,12/12/2024 20:33,API Timeout,med,user-dashboard,PRODUCTION,,4401,Error in module at line 237: Database Connection Error,
1209,27-Nov-2024 17:08:00,UI Glitch,High,auth-service,DEV,9325,0,Error in module at line 234: Authentication Failure,INVALID_IP
3094,1732900800.0,Network Timeout,P1,user-dashboard,prod,1026,4251,Error in module at line 384: Database Connection Error,0.0.0.0
4927,,API Timeout,Low,,Staging,,4710.57,Error in module at line 99: Performance Degradation,192.168.247.212
3744,12-Feb-2024 16:11:00,API Timeout,high,auth-service,production,UNKNOWN,-1,Error in module at line 229: Memory Leak,192.168.3.108
694,1721838960.0,System Crash,med,auth-service,PRODUCTION,,783.46,Error in module at line 45: Network Timeout,10.0.232.65
4702,2024-08-07 09:28:00,Database Connection Error,Critical,api-gateway,development,,-1,Error in module at line 321: File Not Found,INVALID_IP
3216,,System Crash,med,file-storage,Staging,,4205.37,Error in module at line 335: Performance Degradation,0.0.0.0
1965,06/05/2024 15:34,Network Timeout,CRITICAL,notification-service,development,,N/A,Error in module at line 149: System Crash,192.168.195.121
549,13-Dec-2024 22:05:00,System Crash,P3,user-dashboard,DEV,USR-7366,792,Error in module at line 233: Authentication Failure,192.168.181.174
958,1707533580.0,UI Glitch,high,user-dashboard,development,,3188.05,Error in module at line 176: Database Connection Error,0.0.0.0
2696,04/02/2024 01:09,Database Connection Error,CRITICAL,user-dashboard,dev,USR-2444,3704.71,Error in module at line 428: Performance Degradation,
2916,2024-07-30 21:10:00,File Not Found,High,database-manager,DEV,USR-3115,4694,Error in module at line 265: UI Glitch,192.168.70.145
2579,2024-02-03 05:38:00,File Not Found,P1,,PRODUCTION,,1613,Error in module at line 296: Performance Degradation,192.168.94.99
306,03/14/2024 02:31,Performance Degradation,Low,file-storage,dev,USR-5085,3981,Error in module at line 406: File Not Found,INVALID_IP
4133,03/21/2024 21:56,Performance Degradation,P3,user-dashboard,development,UNKNOWN,N/A,Error in module at line 152: API Timeout,0.0.0.0
67,2024-01-22 11:27:00,System Crash,P1,notification-service,PRODUCTION,,0,Error in module at line 385: UI Glitch,192.168.113.183
3791,16-Oct-2024 06:40:00,Database Connection Error,P1,payment-gateway,staging,UNKNOWN,,Error in module at line 54: Authentication Failure,
2671,22-Mar-2024 10:39:00,System Crash,P2,auth-service,prod,,-1,Error in module at line 337: Permission Denied,
1320,,File Not Found,Low,auth-service,DEV,USR-7020,0,Error in module at line 468: API Timeout,0.0.0.0
670,30-May-2024 02:11:00,UI Glitch,High,api-gateway,production,,,Error in module at line 254: UI Glitch,INVALID_IP
1538,07/14/2024 13:41,Permission Denied,P2,notification-service,staging,,0,Error in module at line 232: API Timeout,10.0.68.229
3345,,System Crash,High,,production,UNKNOWN,99999,Error in module at line 85: Authentication Failure,0.0.0.0
1008,1734923760.0,API Timeout,P2,payment-gateway,DEV,USR-5958,4432,Error in module at line 309: Database Connection Error,10.0.45.141
609,1716203880.0,System Crash,,database-manager,development,UNKNOWN,0,Error in module at line 484: Network Timeout,0.0.0.0
1920,1708582260.0,Performance Degradation,High,database-manager,DEV,UNKNOWN,99999,Error in module at line 348: System Crash,192.168.200.146
4815,06/06/2024 04:53,API Timeout,Critical,auth-service,dev,,1653.7,Error in module at line 301: System Crash,10.0.212.53
1657,11/16/2024 02:59,Authentication Failure,high,,staging,,N/A,Error in module at line 343: Permission Denied,
531,14-Sep-2024 19:41:00,Database Connection Error,High,notification-service,,,0,Error in module at line 401: System Crash,192.168.110.51
3174,2024-12-09 11:05:00,System Crash,High,file-storage,stg,,0,Error in module at line 394: System Crash,192.168.81.135
4888,2024-07-31 07:00:00,UI Glitch,P3,auth-service,development,3017,894,Error in module at line 262: Performance Degradation,192.168.218.74
820,2024-01-08 12:53:00,Network Timeout,High,payment-gateway,,,0,Error in module at line 82: Permission Denied,0.0.0.0
4734,07/17/2024 22:30,Memory Leak,P1,payment-gateway,production,UNKNOWN,,Error in module at line 304: System Crash,INVALID_IP
1171,25-Oct-2024 17:58:00,System Crash,Low,notification-service,prod,USR-3880,2458,Error in module at line 413: Performance Degradation,0.0.0.0
600,02/26/2024 16:58,Network Timeout,Critical,api-gateway,PRODUCTION,,183,Error in module at line 474: UI Glitch,
4947,2024-10-10 06:08:00,Database Connection Error,P1,notification-service,dev,2506,0,Error in module at line 464: Permission Denied,192.168.225.215
2142,10/17/2024 02:52,Permission Denied,P3,file-storage,development,UNKNOWN,4958.58,Error in module at line 148: Memory Leak,0.0.0.0
3099,1718875500.0,File Not Found,high,database-manager,stg,,99999,Error in module at line 246: Memory Leak,INVALID_IP
3626,08/21/2024 02:17,API Timeout,high,notification-service,prod,USR-4522,0,Error in module at line 343: System Crash,0.0.0.0
4254,14-Feb-2024 22:19:00,System Crash,Low,notification-service,,UNKNOWN,N/A,Error in module at line 228: System Crash,
2881,2024-02-15 01:31:00,Database Connection Error,Critical,api-gateway,dev,3984,0,Error in module at line 491: UI Glitch,0.0.0.0
843,2024-10-17 13:38:00,Performance Degradation,Low,database-manager,DEV,,797,Error in module at line 101: Database Connection Error,10.0.89.140
188,12-Nov-2024 22:28:00,Database Connection Error,,notification-service,development,USR-6592,99999,Error in module at line 263: Authentication Failure,
4422,,Permission Denied,high,database-manager,PRODUCTION,UNKNOWN,2273,Error in module at line 238: System Crash,0.0.0.0
4709,2024-04-30 07:42:00,Database Connection Error,CRITICAL,file-storage,Staging,USR-8349,99999,Error in module at line 492: System Crash,0.0.0.0
2419,1723753800.0,Memory Leak,High,,production,,-1,Error in module at line 100: Performance Degradation,10.0.108.70
794,04/19/2024 09:17,Performance Degradation,Critical,user-dashboard,prod,4178,99999,Error in module at line 359: UI Glitch,0.0.0.0
3577,1715236080.0,System Crash,P2,payment-gateway,dev,UNKNOWN,1993.37,Error in module at line 257: UI Glitch,192.168.179.90
3722,21-Jan-2024 00:53:00,API Timeout,P4,database-manager,Staging,,1727.89,Error in module at line 360: Authentication Failure,INVALID_IP
1611,,Authentication Failure,LOW,api-gateway,prod,1154,-1,Error in module at line 445: Performance Degradation,
3400,2024-12-17 04:25:00,Authentication Failure,P2,notification-service,stg,UNKNOWN,N/A,Error in module at line 412: UI Glitch,10.0.72.137
2228,1721572140.0,Database Connection Error,High,,Staging,,1935,Error in module at line 225: Permission Denied,192.168.216.66
3913,09/11/2024 15:23,Authentication Failure,med,database-manager,Staging,UNKNOWN,2953,Error in module at line 93: System Crash,10.0.73.15
2304,1706744940.0,Authentication Failure,P3,auth-service,DEV,4186,-1,Error in module at line 107: Network Timeout,0.0.0.0
3603,11-May-2024 13:09:00,File Not Found,,,stg,1048,2573.54,Error in module at line 136: Authentication Failure,192.168.135.108
3598,,Permission Denied,P1,payment-gateway,PRODUCTION,USR-4655,1168,Error in module at line 231: UI Glitch,INVALID_IP
2552,2024-10-31 16:10:00,API Timeout,high,user-dashboard,prod,5708,2087.41,Error in module at line 186: API Timeout,192.168.74.35
121,06/12/2024 08:36,API Timeout,high,file-storage,staging,,,Error in module at line 471: File Not Found,10.0.213.127
2878,02/26/2024 07:45,API Timeout,high,file-storage,dev,USR-6416,4935,Error in module at line 425: Authentication Failure,
893,2024-02-16 21:52:00,Performance Degradation,Medium,notification-service,development,,99999,Error in module at line 277: Network Timeout,192.168.158.51
4585,25-Nov-2024 08:57:00,Memory Leak,LOW,auth-service,prod,UNKNOWN,-1,Error in module at line 437: System Crash,10.0.85.124
3873,11/19/2024 09:55,Network Timeout,Medium,,,USR-6912,4955.64,Error in module at line 302: Authentication Failure,10.0.211.120
2236,,Database Connection Error,P3,api-gateway,prod,,,Error in module at line 456: Authentication Failure,
3503,2024-11-14 19:21:00,System Crash,Critical,database-manager,PRODUCTION,9241,3982.26,Error in module at line 317: Memory Leak,10.0.85.151
818,30-Jan-2024 13:48:00,Authentication Failure,Critical,notification-service,staging,,99999,Error in module at line 307: Memory Leak,10.0.148.55
58,2024-03-16 20:36:00,File Not Found,P2,payment-gateway,,8668,-1,Error in module at line 268: Permission Denied,INVALID_IP
4432,07/22/2024 15:11,UI Glitch,,,dev,,4247,Error in module at line 435: File Not Found,INVALID_IP
69,1716256200.0,UI Glitch,Low,payment-gateway,production,USR-6691,0,Error in module at line 139: API Timeout,192.168.250.173
4595,2024-04-14 01:31:00,System Crash,CRITICAL,notification-service,dev,,-1,Error in module at line 137: UI Glitch,
3262,1719906480.0,Performance Degradation,Low,database-manager,Staging,UNKNOWN,,Error in module at line 137: File Not Found,192.168.97.155
1817,22-Jun-2024 07:03:00,Database Connection Error,Low,user-dashboard,PRODUCTION,,0,Error in module at line 497: Performance Degradation,0.0.0.0
3178,,API Timeout,CRITICAL,file-storage,,1920,99999,Error in module at line 314: UI Glitch,10.0.163.129
3616,2024-04-05 21:28:00,Authentication Failure,High,api-gateway,Staging,USR-5802,99999,Error in module at line 6: Memory Leak,INVALID_IP
2997,1711867500.0,System Crash,P2,database-manager,staging,2622,0,Error in module at line 84: System Crash,
100,05/30/2024 04:34,API Timeout,high,,DEV,,99999,Error in module at line 284: UI Glitch,
4590,2024-06-06 21:49:00,API Timeout,P4,file-storage,DEV,USR-9442,0,Error in module at line 65: Memory Leak,INVALID_IP
351,1713363000.0,UI Glitch,P4,file-storage,production,USR-5163,-1,Error in module at line 8: Database Connection Error,0.0.0.0
1891,01/22/2024 16:02,Performance Degradation,P2,api-gateway,dev,,0,Error in module at line 332: Network Timeout,10.0.156.170
1934,,UI Glitch,P2,api-gateway,DEV,,99999,Error in module at line 293: Performance Degradation,
956,,File Not Found,High,database-manager,PRODUCTION,,0,Error in module at line 248: Performance Degradation,192.168.181.155
665,,Database Connection Error,P2,notification-service,,6995,0,Error in module at line 487: Database Connection Error,192.168.69.56
2094,,Authentication Failure,med,file-storage,Staging,UNKNOWN,,Error in module at line 471: UI Glitch,INVALID_IP
3908,03/26/2024 16:04,File Not Found,Medium,notification-service,production,8020,853,Error in module at line 253: Network Timeout,10.0.158.182
4373,04-Mar-2024 06:55:00,Database Connection Error,Low,api-gateway,prod,,0,Error in module at line 188: UI Glitch,192.168.15.118
2715,04/11/2024 15:56,Performance Degradation,,file-storage,Staging,USR-7806,4906,Error in module at line 322: System Crash,10.0.25.43
4701,,Permission Denied,CRITICAL,api-gateway,production,4191,,Error in module at line 59: Authentication Failure,192.168.30.141
654,07/07/2024 13:37,Memory Leak,P1,user-dashboard,,4528,N/A,Error in module at line 370: Permission Denied,192.168.37.33
4222,2024-10-18 19:50:00,UI Glitch,P4,,Staging,4563,99999,Error in module at line 17: Memory Leak,10.0.10.40
714,12-Nov-2024 08:29:00,UI Glitch,P2,file-storage,prod,,N/A,Error in module at line 169: Authentication Failure,10.0.179.135
2701,2024-06-01 01:37:00,Authentication Failure,Medium,api-gateway,production,USR-5925,-1,Error in module at line 327: Performance Degradation,
2227,,File Not Found,P1,auth-service,DEV,,-1,Error in module at line 266: Memory Leak,
155,2024-07-25 15:24:00,Memory Leak,LOW,payment-gateway,prod,,99999,Error in module at line 360: Memory Leak,10.0.36.50
4539,07/14/2024 22:34,UI Glitch,CRITICAL,payment-gateway,development,UNKNOWN,2756,Error in module at line 22: Permission Denied,0.0.0.0
2668,1704306840.0,Network Timeout,P3,user-dashboard,dev,,2627.44,Error in module at line 487: File Not Found,10.0.177.25
1801,,Network Timeout,P3,payment-gateway,dev,,3285,Error in module at line 142: API Timeout,0.0.0.0
901,INVALID_TIME,Authentication Failure,Critical,,dev,,,Error in module at line 179: Performance Degradation,INVALID_IP
4136,2024-02-10 20:09:00,Database Connection Error,high,notification-service,development,UNKNOWN,-1,Error in module at line 46: Network Timeout,10.0.103.252
2535,1730777280.0,System Crash,P4,,DEV,USR-4612,N/A,Error in module at line 40: Database Connection Error,
3521,25-Sep-2024 11:48:00,Database Connection Error,P4,file-storage,staging,USR-7498,0,Error in module at line 278: Authentication Failure,192.168.177.111
3294,2024-02-12 13:29:00,Performance Degradation,high,file-storage,development,USR-3303,-1,Error in module at line 190: Authentication Failure,
2487,2024-11-10 05:02:00,UI Glitch,Low,file-storage,production,,3993,Error in module at line 366: API Timeout,10.0.158.249
4520,12-Mar-2024 05:16:00,Network Timeout,Critical,payment-gateway,DEV,,3122,Error in module at line 466: Database Connection Error,0.0.0.0
3888,INVALID_TIME,Network Timeout,med,auth-service,production,,99999,Error in module at line 147: Network Timeout,10.0.155.66
92,1710409200.0,Permission Denied,LOW,user-dashboard,development,USR-4011,1486,Error in module at line 125: Network Timeout,10.0.93.37
4420,03/23/2024 14:19,Authentication Failure,P4,,development,1385,3989.94,Error in module at line 114: File Not Found,INVALID_IP
3701,,Performance Degradation,med,file-storage,staging,USR-7867,-1,Error in module at line 195: File Not Found,0.0.0.0
4088,2024-07-04 04:14:00,Permission Denied,,database-manager,PRODUCTION,,3060,Error in module at line 460: File Not Found,10.0.194.82
2339,,Authentication Failure,P3,api-gateway,staging,,4996,Error in module at line 478: Network Timeout,10.0.78.234
1118,,Authentication Failure,high,payment-gateway,dev,,-1,Error in module at line 9: Authentication Failure,0.0.0.0
