ticket_id,customer_id,order_id,issue_type,description,priority,status,created_date,resolved_date,agent
126,769,2560,Product Defect,Wrong item received,Low,Open,2023-08-05 00:00:00,2023-08-10 00:00:00,Agent_Smith
127,2114,2639,Delivery,App crashing on checkout,High,Resolved,2023-10-28 00:00:00,,Unassigned
128,2343,679,Account,Wrong item received,Medium,In Progress,2024-08-06 00:00:00,2024-08-15 00:00:00,Agent_Jones
129,2479,4642,Billing,Want to return product,Medium,Closed,2024-04-25 00:00:00,2024-05-05 00:00:00,Unassigned
130,703,7275,Delivery,Charged twice for order,High,Resolved,2024-04-03 00:00:00,2024-04-14 00:00:00,Agent_Smith
131,2477,2768,Billing,Wrong item received,Medium,Unknown,2024-11-21 00:00:00,,Unassigned
132,393,3921,Unknown,App crashing on checkout,Low,Closed,2023-08-07 00:00:00,,Agent_Jones
133,790,7163,Account,,Low,Closed,2024-12-08 00:00:00,2024-12-19 00:00:00,Agent_Smith
134,366,2544,Product Defect,,Medium,Resolved,2024-03-23 00:00:00,2024-03-23 00:00:00,Unassigned
135,1777,5968,Product Defect,Cannot login to account,High,In Progress,2024-10-15 00:00:00,2024-10-21 00:00:00,Agent_Smith
136,166,550,Account,,Low,Unknown,2023-11-26 00:00:00,2023-11-27 00:00:00,Unassigned
137,320,2686,Billing,Product arrived damaged,Medium,Resolved,2024-12-12 00:00:00,2024-12-18 00:00:00,Agent_Jones
138,227,2193,Technical,Cannot login to account,Unknown,Closed,2023-08-17 00:00:00,2023-08-26 00:00:00,Agent_Jones
139,1834,3291,Return,,High,Open,2024-11-05 00:00:00,2024-11-18 00:00:00,Unassigned
140,2230,6550,Billing,Wrong item received,High,Open,2023-10-28 00:00:00,2023-11-06 00:00:00,Agent_Smith
141,364,5816,Return,Want to return product,Unknown,In Progress,2024-01-04 00:00:00,,Unassigned
142,1277,2109,Product Defect,Product arrived damaged,High,Unknown,2024-06-27 00:00:00,2024-06-29 00:00:00,Agent_Jones
143,1214,285,Technical,Cannot login to account,Medium,Open,2024-08-16 00:00:00,2024-08-17 00:00:00,Agent_Smith
144,2687,733,Product Defect,,High,Unknown,2024-06-18 00:00:00,2024-06-29 00:00:00,Agent_Brown
145,2110,7397,Product Defect,Product arrived damaged,Low,Resolved,2024-05-12 00:00:00,2024-05-17 00:00:00,Unassigned
146,1825,6744,Account,Wrong item received,Low,Unknown,2023-04-20 00:00:00,2023-05-01 00:00:00,Agent_Jones
147,215,1070,Product Defect,Want to return product,Medium,Closed,2023-05-27 00:00:00,2023-06-10 00:00:00,Unassigned
148,637,764,Product Defect,Want to return product,Medium,Open,2024-03-12 00:00:00,,Agent_Smith
149,2060,7442,Account,Product arrived damaged,Low,In Progress,2024-10-14 00:00:00,2024-10-16 00:00:00,Agent_Smith
150,1944,1644,Delivery,Product arrived damaged,Medium,Unknown,2024-01-04 00:00:00,2024-01-15 00:00:00,Unassigned
151,2704,1208,Billing,App crashing on checkout,Medium,Resolved,2024-08-20 00:00:00,2024-08-30 00:00:00,Unassigned
152,2062,6293,Product Defect,,Low,In Progress,2023-12-20 00:00:00,2023-12-30 00:00:00,Unassigned
153,2176,2253,Billing,,High,Resolved,2024-01-30 00:00:00,2024-02-01 00:00:00,Unassigned
154,678,2312,Return,Want to return product,High,Closed,2023-02-25 00:00:00,,Agent_Jones
155,2643,4816,Account,Product arrived damaged,High,In Progress,2023-01-12 00:00:00,2023-01-25 00:00:00,Agent_Smith
156,1642,1417,Technical,,Medium,Unknown,2024-03-27 00:00:00,2024-03-29 00:00:00,Agent_Brown
157,2145,5372,Account,Want to return product,High,Resolved,2023-10-08 00:00:00,2023-10-10 00:00:00,Agent_Smith
158,1984,7126,Technical,Cannot login to account,Medium,Open,2023-11-01 00:00:00,2023-11-12 00:00:00,Agent_Brown
159,2980,5859,Billing,Charged twice for order,Low,In Progress,2023-03-13 00:00:00,2023-03-17 00:00:00,Unassigned
160,2014,4729,Return,,Medium,In Progress,2024-05-17 00:00:00,2024-05-31 00:00:00,Unassigned
161,1483,1454,Return,Charged twice for order,Medium,Open,2023-08-11 00:00:00,2023-08-20 00:00:00,Agent_Smith
162,586,5711,Technical,,High,Open,2024-08-13 00:00:00,,Unassigned
163,1559,2909,Product Defect,Charged twice for order,Unknown,Resolved,2024-08-03 00:00:00,2024-08-05 00:00:00,Unassigned
164,197,1777,Return,,High,Open,2024-12-14 00:00:00,2024-12-16 00:00:00,Agent_Smith
165,1858,4633,Technical,,Low,Open,2024-07-04 00:00:00,2024-07-16 00:00:00,Unassigned
166,2265,3463,Return,Wrong item received,Low,Resolved,2024-02-28 00:00:00,2024-02-29 00:00:00,Unassigned
167,2730,2030,Delivery,Product arrived damaged,High,Open,2023-08-06 00:00:00,2023-08-08 00:00:00,Unassigned
168,1732,4671,Billing,,Low,Resolved,2023-11-10 00:00:00,2023-11-13 00:00:00,Unassigned
169,2323,7822,Return,Product arrived damaged,Medium,Closed,2023-02-02 00:00:00,2023-02-14 00:00:00,Agent_Smith
170,671,4818,Return,,Medium,Closed,2024-03-12 00:00:00,2024-03-13 00:00:00,Agent_Brown
171,906,2791,Billing,,Medium,Closed,2024-07-14 00:00:00,,Unassigned
172,2865,6723,Return,Want to return product,Medium,Open,2023-04-07 00:00:00,2023-04-17 00:00:00,Agent_Smith
173,191,1594,Billing,,High,Resolved,2024-04-04 00:00:00,,Unassigned
174,606,2968,Technical,,Low,In Progress,2024-05-04 00:00:00,,Unassigned
175,659,6965,Unknown,Wrong item received,Medium,Resolved,2024-06-01 00:00:00,,Agent_Jones
176,2352,7288,Billing,,Low,Unknown,2024-10-12 00:00:00,2024-10-25 00:00:00,Agent_Smith
177,1038,6097,Product Defect,,Low,Resolved,2023-01-06 00:00:00,,Unassigned
178,2817,1207,Delivery,Charged twice for order,Low,In Progress,2024-10-17 00:00:00,2024-10-26 00:00:00,Unassigned
179,450,7009,Account,Wrong item received,Medium,Unknown,2024-12-16 00:00:00,2024-12-25 00:00:00,Unassigned
180,1452,997,Delivery,,Low,Open,2024-01-30 00:00:00,2024-02-10 00:00:00,Agent_Brown
181,2070,2332,Billing,Want to return product,High,Unknown,2023-07-21 00:00:00,2023-07-28 00:00:00,Unassigned
182,950,6782,Billing,Cannot login to account,Low,Resolved,2023-08-01 00:00:00,2023-08-05 00:00:00,Agent_Brown
183,139,2280,Billing,Cannot login to account,Medium,In Progress,2024-02-09 00:00:00,2024-02-14 00:00:00,Unassigned
184,1040,528,Return,App crashing on checkout,Medium,Closed,2024-09-04 00:00:00,2024-09-04 00:00:00,Unassigned
185,647,6693,Billing,Wrong item received,Medium,Closed,2023-10-24 00:00:00,,Unassigned
186,1322,900,Account,,High,Unknown,2023-09-15 00:00:00,,Unassigned
187,1080,802,Billing,Want to return product,Low,In Progress,2024-11-01 00:00:00,2024-11-10 00:00:00,Agent_Jones
188,651,5229,Product Defect,,Low,Open,2023-05-13 00:00:00,2023-05-22 00:00:00,Unassigned
189,1799,7803,Billing,Cannot login to account,Low,Open,2023-10-31 00:00:00,2023-11-10 00:00:00,Agent_Brown
190,2154,4296,Account,Wrong item received,High,Unknown,2023-03-20 00:00:00,2023-03-26 00:00:00,Unassigned
191,1700,363,Delivery,Wrong item received,High,In Progress,2023-02-07 00:00:00,,Agent_Brown
192,2343,6446,Unknown,,Low,Resolved,2023-09-28 00:00:00,2023-10-10 00:00:00,Unassigned
193,2408,4453,Product Defect,,High,Open,2024-06-13 00:00:00,,Agent_Smith
194,2665,4319,Billing,Product arrived damaged,High,Closed,2024-05-24 00:00:00,,Agent_Smith
195,2606,3184,Product Defect,Cannot login to account,Medium,Open,2024-08-16 00:00:00,2024-08-21 00:00:00,Agent_Brown
196,1163,7619,Product Defect,,Medium,Closed,2023-11-25 00:00:00,2023-12-02 00:00:00,Agent_Brown
197,1646,2875,Billing,Charged twice for order,Medium,In Progress,2023-04-20 00:00:00,,Agent_Jones
198,1970,5143,Delivery,Wrong item received,Low,Open,2024-04-25 00:00:00,2024-05-04 00:00:00,Agent_Brown
199,1823,1543,Billing,Product arrived damaged,Medium,Open,2023-07-15 00:00:00,,Unassigned
200,2847,836,Billing,App crashing on checkout,High,Unknown,2024-03-15 00:00:00,,Unassigned
201,710,724,Delivery,,Low,In Progress,2024-01-01 00:00:00,2024-01-08 00:00:00,Unassigned
202,922,1422,Technical,Charged twice for order,High,Resolved,2024-12-18 00:00:00,2024-12-29 00:00:00,Unassigned
203,1565,2483,Return,Want to return product,Low,Closed,2023-04-20 00:00:00,,Unassigned
204,1429,2426,Technical,Cannot login to account,High,Open,2023-12-25 00:00:00,2024-01-02 00:00:00,Unassigned
205,414,4473,Product Defect,Charged twice for order,Unknown,In Progress,2024-12-07 00:00:00,2024-12-11 00:00:00,Agent_Smith
206,43,3855,Return,Charged twice for order,Unknown,In Progress,2024-07-25 00:00:00,2024-07-30 00:00:00,Unassigned
207,2402,723,Technical,Charged twice for order,Low,Open,2024-07-10 00:00:00,2024-07-13 00:00:00,Agent_Smith
208,2970,4449,Account,Wrong item received,Low,Closed,2023-09-25 00:00:00,2023-09-26 00:00:00,Agent_Brown
209,2975,2798,Technical,Product arrived damaged,Low,In Progress,2024-04-07 00:00:00,2024-04-13 00:00:00,Unassigned
210,619,6689,Product Defect,App crashing on checkout,High,Unknown,2023-01-02 00:00:00,,Agent_Brown
211,1591,6480,Technical,,High,Open,2024-01-31 00:00:00,,Agent_Jones
212,1839,2214,Unknown,Want to return product,Low,In Progress,2024-05-11 00:00:00,,Unassigned
213,2163,6682,Delivery,Product arrived damaged,High,Unknown,2023-11-22 00:00:00,2023-11-23 00:00:00,Unassigned
214,148,448,Product Defect,,High,Resolved,2024-10-29 00:00:00,2024-10-30 00:00:00,Agent_Brown
215,2783,1229,Delivery,Charged twice for order,Medium,Resolved,2024-10-31 00:00:00,,Unassigned
216,809,637,Delivery,Product arrived damaged,Medium,Open,2024-05-18 00:00:00,2024-05-18 00:00:00,Agent_Smith
217,761,421,Technical,,Medium,Closed,2023-06-04 00:00:00,,Agent_Jones
218,1341,6536,Unknown,Charged twice for order,Medium,In Progress,2023-07-12 00:00:00,,Unassigned
219,701,33,Billing,Product arrived damaged,High,Resolved,2024-08-01 00:00:00,2024-08-12 00:00:00,Unassigned
220,2672,7992,Technical,Charged twice for order,High,Open,2023-09-10 00:00:00,2023-09-23 00:00:00,Unassigned
221,1437,1366,Delivery,Want to return product,High,Unknown,2023-12-28 00:00:00,2024-01-08 00:00:00,Unassigned
222,1100,3765,Delivery,,High,Closed,2023-07-12 00:00:00,,Agent_Jones
223,404,1442,Return,Want to return product,Low,In Progress,2023-03-29 00:00:00,,Agent_Smith
224,544,5434,Delivery,Want to return product,Medium,Open,2023-07-19 00:00:00,2023-07-21 00:00:00,Unassigned
225,1848,455,Technical,Product arrived damaged,High,Resolved,2024-04-14 00:00:00,,Agent_Brown
226,1127,2461,Product Defect,Charged twice for order,High,Open,2024-02-09 00:00:00,2024-02-15 00:00:00,Unassigned
227,1456,1477,Unknown,Charged twice for order,High,Open,2024-11-09 00:00:00,,Unassigned
228,813,4029,Product Defect,,High,Resolved,2023-07-10 00:00:00,,Agent_Jones
229,1070,1089,Billing,Cannot login to account,High,Closed,2023-02-10 00:00:00,2023-02-14 00:00:00,Agent_Smith
230,2882,3750,Account,App crashing on checkout,Low,Resolved,2023-03-18 00:00:00,,Unassigned
231,2504,2802,Technical,,High,Resolved,2024-04-02 00:00:00,2024-04-12 00:00:00,Agent_Smith
232,2617,3630,Product Defect,Want to return product,Low,In Progress,2024-10-24 00:00:00,2024-10-28 00:00:00,Unassigned
233,2414,3662,Delivery,Product arrived damaged,High,Resolved,2023-07-29 00:00:00,2023-08-09 00:00:00,Agent_Smith
234,2057,4178,Billing,,Low,Open,2024-06-23 00:00:00,,Unassigned
235,1271,5316,Delivery,Cannot login to account,High,Closed,2023-02-18 00:00:00,2023-03-04 00:00:00,Agent_Jones
236,1989,3765,Return,Wrong item received,Low,Unknown,2023-09-24 00:00:00,,Unassigned
237,448,5874,Return,App crashing on checkout,Low,Resolved,2023-06-24 00:00:00,,Agent_Jones
238,2205,1733,Billing,Wrong item received,Unknown,Resolved,2023-10-09 00:00:00,,Unassigned
239,2163,1115,Delivery,App crashing on checkout,Unknown,Open,2023-01-30 00:00:00,2023-02-03 00:00:00,Unassigned
240,163,6680,Product Defect,Charged twice for order,Low,Resolved,2024-04-12 00:00:00,2024-04-14 00:00:00,Agent_Smith
241,1132,1140,Delivery,Want to return product,Medium,Open,2024-10-16 00:00:00,2024-10-19 00:00:00,Agent_Smith
242,149,6123,Account,App crashing on checkout,Medium,Open,2024-09-02 00:00:00,2024-09-04 00:00:00,Unassigned
243,2041,6949,Technical,,High,Open,2024-08-16 00:00:00,2024-08-22 00:00:00,Agent_Brown
244,1273,6131,Delivery,Product arrived damaged,High,Open,2023-04-11 00:00:00,2023-04-12 00:00:00,Agent_Brown
245,1898,5478,Billing,Want to return product,High,Open,2024-03-10 00:00:00,2024-03-11 00:00:00,Agent_Smith
246,1560,6623,Technical,Charged twice for order,High,Resolved,2024-02-05 00:00:00,2024-02-06 00:00:00,Agent_Jones
247,831,7449,Return,Product arrived damaged,High,Closed,2024-10-01 00:00:00,2024-10-03 00:00:00,Unassigned
248,551,1317,Delivery,,Unknown,Closed,2023-08-23 00:00:00,,Agent_Smith
249,192,961,Billing,Cannot login to account,Medium,In Progress,2023-09-13 00:00:00,2023-09-27 00:00:00,Agent_Brown
250,2386,6404,Delivery,,High,In Progress,2023-11-10 00:00:00,2023-11-22 00:00:00,Unassigned
251,2219,4896,Delivery,Want to return product,Medium,Open,2023-04-25 00:00:00,2023-04-26 00:00:00,Unassigned
252,1750,7126,Billing,,Low,Open,2024-05-23 00:00:00,2024-05-26 00:00:00,Agent_Jones
253,1490,7989,Unknown,,Medium,Resolved,2024-05-16 00:00:00,2024-05-24 00:00:00,Agent_Smith
254,1083,2937,Delivery,Wrong item received,High,Closed,2024-12-01 00:00:00,2024-12-15 00:00:00,Unassigned
255,1527,759,Product Defect,Charged twice for order,High,Unknown,2024-04-16 00:00:00,,Agent_Brown
